                       log-prob  compression_ratio  no_speech:prob                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        type
./Videos/Video65.mp4                                                                                                                                                                                                                                                                                                                                                                                                                                                                                          ... ... ... ... ...
./Videos/Video66.mp4                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             dialogue unknown
./Videos/Video67.mp4                                                                                                                                                                                                                                                                                                                                                                                                                                 I miei figli saranno migliori e diventeranno italiani Sì, avranno una lingua
./Videos/Video68.mp4                                                                                                                                                                                                                                                                                                                                                          O Dio divino, io ti vedo qui a te mai, o Dio beato, hai quanto di posso d'avermi amato, hai quanto di posso d'avermi amato, a te che sei del mondo.
./Videos/Video69.mp4                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                silence/noise
./Videos/Video70.mp4                                                                                                 ma scimmie e nandaggio non ne avevo mai visto andiamo, si si si adesso andiamo ok asciugatevi asciugatevi andiamo dentro andiamo dentro tieniamo i carabinieri dai dai dai via via via scappa sono paura dentro dentro dentro dentro spegni spegni spegni vogliamo andare in camera? si andiamo in camera andiamo in camera che qua fa freddo venite venite Sami Sami vieni chiudi chiudi tutto chiudi tutto
./Videos/Video71.mp4                                                                                                                                                                                 Franco la Cris fa sentire niente diamo con le arance diamo sono buone sono belle chiedetelo alle vostre sorelle diamo con le arance le arance diamo con le arance forza con le arance le arance eh le arance vai ma sono dolci sono dolci e se erano dolci dicevo dolci sono arance quella patice e rime diamo con le arance
./Videos/Video72.mp4                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             dialogue unknown
./Videos/Video73.mp4                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             dialogue unknown
./Videos/Video74.mp4                                           Check papà! Dunque, patatine Lays per te, patatine Lays per me, Lays per la mamma, Lays per tua sorella, Lays per il nonno, Lays per il portillaio e Lays per il bagnino. Papà, manca la valigia. Ah già! Una volta provate, non puoi più dimenticarle! Lays, life needs flavor! Si sblocca con uno sguardo e si avvia un video, sembra di essere al cinema. In certi momenti mi chiedo, ma questo smartphone l'ho pagato proprio così? Incredibile! È nel prezzo!
./Videos/Video75.mp4                                                                   eccolo là qui adesso l'apro ma anche lei l'ha già visto prima lo apriamo così senza niente così senti un po' come quando te lo appoggi sui denti e poi dopo ti spiego come funziona il progresso delle cose, va bene? l'orellino che c'ha fatto tu non è sopra, così poi ti puoi ricordare del dentino storto quindi così, apro grande semplicemente si appoggia sui dentini dietro e si spinge fine, insieme nessun male, nessun fastidio
./Videos/Video76.mp4                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             dialogue unknown
./Videos/Video77.mp4                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                silence/noise
./Videos/Video78.mp4                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                silence/noise
./Videos/Video79.mp4                                                                                                                 Buona colazione ma dove siamo al bar da papà? E cosa vi ha preparato il papà? Cappuccino. Cappuccino, la torta, questa torta è uno spoiler, è uno spoiler, non bisogna dire molto di questa torta, abbiamo festeggiato qualcosa, vero? E tu cappuccino? La mangi la tortina anche tu? Eh? E' buono il cappuccino che fa il papà? Sì? Allora buona domenica! Buona domenica, ciao! Ciao ciao!
./Videos/Video80.mp4                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                silence/noise
./Videos/Video81.mp4                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                silence/noise
./Videos/Video82.mp4                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                silence/noise
./Videos/Video83.mp4                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                silence/noise
./Videos/Video84.mp4                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             dialogue unknown
./Videos/Video85.mp4                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                silence/noise
./Videos/Video86.mp4                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                silence/noise
./Videos/Video87.mp4                                                                                                                                                                                                                                                                                                                                                                                                              Ecco, si attacca così Il latte che viene munto finisce dentro a quel secchio Lo vedete lì sotto
./Videos/Video88.mp4                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                silence/noise
./Videos/Video89.mp4                                                                              molto bene Antonio Tiberi avete visto che ha cercato senza andare fuori giri di stare nella scia dei corridori al comando e Tramposi continua a parlare forse gli ha detto ce la fai ancora a tirare un po' o devo partire e Maica gli ha detto sì forse ce la faccio ancora per tirare. Una cinquantina di secondi il vantaggio di Pellizzari nei confronti di questa prima parte del gruppo della maglia rosa ce la fa ancora
./Videos/Video90.mp4                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                silence/noise
./Videos/Video91.mp4                                                                                                                                                                                                           Io lo so, io lo so che un po' di bene già mi vuoi Dimmi perché, ma perché, ma perché negli occhi miei non guardi mai Eppure tanto io lo so, io lo so che un po' di bene già mi vuoi Dottore? Sì Posso chiedere a lei se avete questo farmaco? Questo farmaco, sì Bustini o pillole? Pillole meglio
./Videos/Video92.mp4                                                                                                                                                                                                                                                                                                                             Buongiorno! Buongiorno! Cosa desiderate? Vorremmo un chilo di farina, una scatola di pomodori e due mozzarelle. Anche un po' di lievito. E una bottiglia da mezzo litro di olio.
./Videos/Video93.mp4                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                silence/noise
./Videos/Video94.mp4   se vi mettete dove state, questa ha una buona continuità di legno, manomale che il sale si restringe e se è vero questo dal punto di vista principale dei vasi comunicanti tanto più si sfila, tanto più si ferma. Questa pianta l'abbiamo, vi avevo detto, tutti fermi adesso. Non lo so, se con un altro linguaggio, non vorrei usare il linguaggio tecnico, voglio usare quello immediato cioè nel senso che questa è una pianta a cui abbiamo ridato una continuità di legno e una continuità di sale.
./Videos/Video95.mp4                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                silence/noise
./Videos/Video96.mp4                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                        music
./Videos/Video97.mp4                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             dialogue unknown
./Videos/Video98.mp4                                                                                                                                                                                                                                                                                                                                                                                                                                                                                             dialogue unknown
./Videos/Video99.mp4                                                                                                                                                                                                      Il soggetto di questa esperienza è stato un esperto di ipnosi non verbali Il soggetto di questa esperienza è stato un esperto di ipnosi non verbali Il soggetto di questa esperienza è stato un esperto di ipnosi non verbali Il soggetto di questa esperienza è stato un esperto di ipnosi non verbali
./Videos/Video100.mp4                                                                                                                                                                                                                                                                                                                                                                                                                                                                                               silence/noise
